단원,단어,뜻
01 단원,kind,"친절한,상냥한"
01 단원,clever,"영리한,재치 있는"
01 단원,wise,"지혜로운,슬기로운"
01 단원,foolish,"바보 같은,어리석은"
01 단원,proud,"자랑스러워하는,거만한,잘난 체하는"
01 단원,honest,"정직한,솔직한"
01 단원,gentle,"부드러운,온화한"
01 단원,careful,조심성 있는
01 단원,brave,용감한
01 단원,lazy,게으른
01 단원,funny,"웃기는,우스꽝스러운"
01 단원,calm,"차분한,침착한"
01 단원,character,"성격,기질"
01 단원,serious,"진지한,진심의"
01 단원,strict,"엄한,엄격한"
01 단원,cruel,"잔인한,무자비한"
01 단원,mean,"야비한,비열한"
01 단원,selfish,이기적인
01 단원,evil,"나쁜,사악한"
01 단원,curious,"호기심이 많은,알고 싶어하는"
01 단원,cheerful,"쾌활한,명랑한"
01 단원,friendly,"친한,다정한,호의적인"
01 단원,modest,"겸손한,신중한"
01 단원,generous,"관대한,(인심이)후한"
01 단원,sensitive,"민감한,에민한"
01 단원,confident,"자신만만한,확신하는"
01 단원,positive,긍정적인
01 단원,negative,부정적인
01 단원,optimistic,"낙관적인,낙천적인"
01 단원,cautious,"조심스러운,신중한,조심하는"
02 단원,big,(몸집이)큰
02 단원,old,"나이가 많은,늙은"
02 단원,tall,키가 큰
02 단원,cute,"귀여운,예쁜"
02 단원,pretty,"예쁜,귀여운,매우,아주"
02 단원,beautiful,아름다운
02 단원,ugly,"못생긴,추한"
02 단원,fat,"뚱뚱한,지방"
02 단원,overweight,"과체중의,너무 살찐"
02 단원,young,"어린,젊은"
02 단원,handsome,(남자가) 잘 생긴
02 단원,slim,"호리호리한,가냘픈,날씬한"
02 단원,beard,턱수염
02 단원,plain,평범하게 생긴
02 단원,good-looking,잘 생긴
02 단원,skinny,"깡마른,바싹 여윈"
02 단원,fit,"건강한,적합하다,꼭 맞다"
02 단원,muscular,"근육질의,건장한"
02 단원,thin,"(몸,손가락 등이)가는,가느다란,여윈,수척한,(머리카락 등이)숱이 적은"
02 단원,bald,대머리의
02 단원,curly,곱슬거리는
02 단원,dye,염색하다
02 단원,appearance,외모
02 단원,attractive,매력적인
02 단원,charming,"매력적인,멋진"
02 단원,mustache,코밑수염
02 단원,sideburns,구레나룻
02 단원,middle-aged,중년의
02 단원,build,"체격,짓다,건축하다"
02 단원,image,"이미지,상,형태"
03 단원,smile,"미소,미소 짓다"
03 단원,enjoy,즐기다
03 단원,cry,울다
03 단원,tear,눈물
03 단원,glad,기쁜
03 단원,angry,화가 난
03 단원,fear,공포
03 단원,joy,"기쁨,즐거움"
03 단원,miss,"그리워하다,놓치다"
03 단원,laugh,웃다
03 단원,annoyed,"짜증 난,화가 난"
03 단원,upset,"화가 난,기분이 상한"
03 단원,worried,걱정스러운
03 단원,regret,"유감,후회,후회하다"
03 단원,bother,"괴롭히다,방해하다"
03 단원,excited,"흥분한,신이 난"
03 단원,surprised,놀란
03 단원,pleased,"기쁜,좋아하는"
03 단원,horror,"공포,전율"
03 단원,grateful,"감사하는,고맙게 여기는"
03 단원,anxious,"걱정되는,근심이 되는"
03 단원,delighted,매우 기뻐하는
03 단원,depressed,"의기소침한,낙담한,우울한"
03 단원,frightened,"깜짝 놀란, 겁이 난"
03 단원,ashamed,부끄러워하는
03 단원,emotion,감정
03 단원,sympathy,동정
03 단원,satisfied,만족한
03 단원,disappointed,"실망한,낙담한"
03 단원,amused,"즐기는,즐거워하는"
04 단원,baker,제빵사
04 단원,captain,선장
04 단원,reporter,"기자,통신원"
04 단원,clerk,점원
04 단원,artist,"예술가,화가"
04 단원,engineer,"기사,기술자"
04 단원,scientist,과학자
04 단원,lawyer,변호사
04 단원,dentist,치과의사
04 단원,pilot,"조종사,조종하다"
04 단원,officer,"공무원,관리"
04 단원,gardener,정원사
04 단원,photographer,사진사
04 단원,president,대통령
04 단원,salesperson,판매원
04 단원,carpenter,목수
04 단원,businessman,사업가
04 단원,fisherman,어부
04 단원,soldier,군인
04 단원,professor,교수
04 단원,judge,"판사,심사원,심판,판단하다"
04 단원,hairdresser,미용사
04 단원,accountant,회계사
04 단원,novelist,소설가
04 단원,security guard,"경호원,경비원"
04 단원,teller,금전출납원
04 단원,astronaut,우주비행사
04 단원,detective,탐정
04 단원,secretary,비서
04 단원,illustrator,삽화가
05 단원,cap,(테가 없는)모자
05 단원,pants,바지
05 단원,sweater,스웨터
05 단원,skirt,치마
05 단원,shoes,"신발,구두"
05 단원,tie,"넥타이,~을 묶다,매다"
05 단원,T-shirt,티셔츠
05 단원,belt,"벨트,허리띠"
05 단원,hat,(테가 있는)모자
05 단원,uniform,"유니폼,제복"
05 단원,socks,양말
05 단원,gloves,장갑
05 단원,boots,"장화,부츠,목이 긴 구두"
05 단원,dress,"옷,의복,옷을 입다"
05 단원,scarf,"스카프,목도리"
05 단원,jacket,"재킷,상의,웃옷"
05 단원,shorts,"반바지,운동 팬츠"
05 단원,button,"단추,~에 단추를 채우다"
05 단원,jeans,청바지
05 단원,suit,"정장,슈트,~에게 잘 어울리다"
05 단원,pocket,주머니
05 단원,bow tie,나비넥타이
05 단원,heels,굽 높은 구두
05 단원,stockings,"긴 양말,스타킹"
05 단원,sandals,샌들
05 단원,wallet,지갑
05 단원,purse,"돈주머니,지갑"
05 단원,vest,조끼
05 단원,overalls,멜빵 바지
05 단원,athletic shoes,운동화
06 단원,milk,우유
06 단원,butter,버터
06 단원,bread,빵
06 단원,jam,잼
06 단원,meat,고기
06 단원,sugar,설탕
06 단원,salt,소금
06 단원,cookie,쿠키
06 단원,soup,수프
06 단원,fish,생선
06 단원,jelly,젤리
06 단원,beef,쇠고기
06 단원,steak,스테이크
06 단원,pork,돼지고기
06 단원,pepper,"후추,고추"
06 단원,diet,"다이어트,식이요법"
06 단원,snack,간식
06 단원,egg,계란
06 단원,rice,밥
06 단원,flour,밀가루
06 단원,honey,꿀
06 단원,mustard,겨자
06 단원,noodle,국수
06 단원,pickle,"(오이 따위 채소를)절인 것,피클,절이다"
06 단원,stew,"스튜,찌개"
06 단원,cereal,"곡물 식품,시리얼,곡물의"
06 단원,meal,식사
06 단원,side dish,"반찬,주된 요리에 곁들이는 요리"
06 단원,appetizer,"애피타이저,식욕을 돋우는 것"
06 단원,powder,가루
07 단원,bake,굽다
07 단원,break,깨뜨리다
07 단원,fry,튀기다
07 단원,boil,끓이다
07 단원,mix,섞다
07 단원,oven,오븐
07 단원,glass,"컵,유리잔,한 컵(의 양)"
07 단원,knife,칼
07 단원,spoon,숟가락
07 단원,basket,바구니
07 단원,handle,손잡이
07 단원,pour,붓다
07 단원,roll,밀다
07 단원,slice,얇게 썰다
07 단원,refrigerator,냉장고
07 단원,pot,(속이 깊은)냄비
07 단원,bowl,"(우묵한)그릇,통"
07 단원,plate,접시
07 단원,tray,쟁반
07 단원,jar,"(입구가 넓은)병,단지"
07 단원,pan,"(납작한)냄비,팬"
07 단원,beat,휘저어 섞다
07 단원,steam,찌다
07 단원,scoop,"주걱,국자"
07 단원,grill,"(열로)굽다,익히다"
07 단원,kettle,주전자
07 단원,opener,따개
07 단원,cabinet,진열대
07 단원,recipe,요리법
07 단원,blender,부엌용 믹서기
08 단원,garden,"정원,정원을 가꾸다"
08 단원,kitchen,부엌
08 단원,apartment,아파트
08 단원,window,창문
08 단원,yard,마당
08 단원,knock,"노크를 하다,(문 등을)두드리다"
08 단원,pet,애완동물
08 단원,soap,비누
08 단원,towel,"타월,수건"
08 단원,curtain,커튼
08 단원,mirror,거울
08 단원,gate,문
08 단원,bedroom,침실
08 단원,roof,지붕
08 단원,garage,차고
08 단원,laundry,세탁물
08 단원,water,"물,물주다"
08 단원,lawn,잔디
08 단원,floor,"마루,바닥,층"
08 단원,feed,먹이다
08 단원,bathroom,욕실
08 단원,ceiling,천장
08 단원,shelf,선반
08 단원,drawer,서랍
08 단원,lamp,"전기스탠드,램프"
08 단원,sheet,"시트,홑이불"
08 단원,stair,"계단,층계"
08 단원,scale,"체중계,저울"
08 단원,sink,"싱크대,개수대"
08 단원,tap,수도꼭지
09 단원,come,"오다,도달하다,도착하다"
09 단원,go,가다
09 단원,park,"주차하다,공원"
09 단원,stop,"정류장,정차하다,그만두다"
09 단원,drive,운전하다
09 단원,subway,지하철
09 단원,plane,비행기
09 단원,ticket,"티켓,표"
09 단원,seat,좌석
09 단원,road,"길,도로"
09 단원,fare,요금
09 단원,bicycle,자전거
09 단원,cross,"~을 건너다,십자가"
09 단원,track,"철도 선로,궤도"
09 단원,rail,철로
09 단원,curve,"굽이,커브,굴곡,구부러지다"
09 단원,sign,"표지(판),서명하다"
09 단원,station,"역,정거장,(관공)서,국"
09 단원,wheel,바퀴
09 단원,license,면허증
09 단원,accident,사고
09 단원,traffic,"교통(량),교통의"
09 단원,forward,"앞쪽으로,앞을 향하여"
09 단원,transfer,"갈아타다,나르다"
09 단원,passenger,승객
09 단원,harbor,항구
09 단원,gas,"휘발유,가솔린"
09 단원,platform,"(역의)플랫폼,승강장"
09 단원,transport,"수송하다,운송하다"
09 단원,crash,"충돌,충돌하다"
10 단원,glue,"풀,풀을 바르다,접착하다"
10 단원,ruler,자
10 단원,scissors,가위
10 단원,eraser,지우개
10 단원,desk,책상
10 단원,chair,의자
10 단원,table,탁자
10 단원,pencil,연필
10 단원,paper,종이
10 단원,room,"방,실"
10 단원,calendar,달력
10 단원,printer,"인쇄기,프린터"
10 단원,envelope,봉투
10 단원,folder,"폴더,서류철"
10 단원,call,"통화,전화를 걸다"
10 단원,letter,편지
10 단원,seal,"도장,인감,봉인,날인하다,봉하다"
10 단원,clip,"클립,자르다,깎다"
